site;sample;rep
BIENVILLE_2023;20;4
BIENVILLE_2023;20;5
BIENVILLE_2023;20;6
BIENVILLE_2023;21;1
BIENVILLE_2023;21;2
BIENVILLE_2023;21;3
BIENVILLE_2023;21;4
BIENVILLE_2023;21;5
BIENVILLE_2023;21;6
BIENVILLE_2023;22;1
BIENVILLE_2023;22;2
BIENVILLE_2023;22;3
BIENVILLE_2023;22;4
BIENVILLE_2023;22;5
BIENVILLE_2023;22;6
BIENVILLE_2023;23;1
BIENVILLE_2023;23;2
BIENVILLE_2023;23;3
BIENVILLE_2023;23;4
BIENVILLE_2023;23;5
BIENVILLE_2023;23;6
BIENVILLE_2023;24;1
BIENVILLE_2023;24;2
BIENVILLE_2023;24;3
BIENVILLE_2023;24;4
BIENVILLE_2023;24;5
BIENVILLE_2023;24;6
BIENVILLE_2023;25;1
BIENVILLE_2023;25;2
BIENVILLE_2023;25;3
BIENVILLE_2023;25;4
BIENVILLE_2023;25;5
BIENVILLE_2023;25;6
BIENVILLE_2023;26;1
BIENVILLE_2023;26;2
BIENVILLE_2023;26;3
BIENVILLE_2023;26;4
BIENVILLE_2023;26;5
BIENVILLE_2023;26;6
BIENVILLE_2023;27;1
BIENVILLE_2023;27;2
BIENVILLE_2023;27;3
BIENVILLE_2023;27;4
BIENVILLE_2023;27;5
BIENVILLE_2023;27;6
BIENVILLE_2023;28;1
BIENVILLE_2023;28;2
BIENVILLE_2023;28;3
BIENVILLE_2023;28;4
BIENVILLE_2023;28;5
BIENVILLE_2023;28;6
BIENVILLE_2023;29;1
BIENVILLE_2023;29;2
BIENVILLE_2023;29;3
BIENVILLE_2023;29;4
BIENVILLE_2023;29;5
BIENVILLE_2023;29;6
BIENVILLE_2023;30;1
BIENVILLE_2023;30;2
BIENVILLE_2023;30;3
BIENVILLE_2023;30;4
BIENVILLE_2023;30;5
BIENVILLE_2023;30;6
BIENVILLE_2023;31;1
BIENVILLE_2023;31;2
BIENVILLE_2023;31;3
BIENVILLE_2023;31;4
BIENVILLE_2023;31;5
BIENVILLE_2023;31;6
BIENVILLE_2023;32;1
BIENVILLE_2023;32;2
BIENVILLE_2023;32;3
BIENVILLE_2023;32;4
BIENVILLE_2023;32;5
BIENVILLE_2023;32;6
BIENVILLE_2023;33;1
BIENVILLE_2023;33;2
BIENVILLE_2023;33;3
