site;sample;pcr1;pcr2;pcr3;pcr4;pcr5;pcr6;pcr7;pcr8;pcr9
BIENVILLE_2023;25;0;0;0;0;0;0;NA;NA;NA
BIENVILLE_2023;26;0;0;0;0;0;0;NA;NA;NA
BIENVILLE_2023;27;0;0;0;0;0;0;NA;NA;NA
BIENVILLE_2023;28;0;0;0;0;0;0;NA;NA;NA
BIENVILLE_2023;29;0;0;0;0;0;0;NA;NA;NA
BIENVILLE_2023;30;0;0;0;0;0;0;NA;NA;NA
BIENVILLE_2023;31;0;0;0;0;0;0;NA;NA;NA
BIENVILLE_2023;32;0;0;0;0;0;0;NA;NA;NA
BIENVILLE_2023;33;0;0;0;0;0;0;NA;NA;NA
LLM_2023;1;1;0;0;0;0;0;NA;NA;NA
LLM_2023;2;1;0;0;0;0;0;NA;NA;NA
LLM_2023;3;1;1;1;0;0;0;NA;NA;NA
LLM_2023;4;0;0;0;0;0;0;NA;NA;NA
LLM_2023;5;0;0;0;0;0;0;NA;NA;NA
LLM_2023;6;0;0;0;0;0;0;NA;NA;NA
LLM_2023;7;0;0;0;0;0;0;NA;NA;NA
LLM_2023;8;0;0;0;0;0;0;NA;NA;NA
LLM_2023;9;0;0;0;0;0;0;NA;NA;NA
LLM_2023;10;0;0;0;0;0;0;NA;NA;NA
LLM_2023;11;0;0;0;0;0;0;NA;NA;NA
LLM_2023;12;0;0;0;0;0;0;NA;NA;NA
NASTA_2023;1;1;0;0;0;0;0;NA;NA;NA
NASTA_2023;2;1;1;1;1;1;1;NA;NA;NA
NASTA_2023;3;1;0;0;0;0;0;NA;NA;NA
NASTA_2023;4;1;1;1;1;1;0;NA;NA;NA
NASTA_2023;5;1;1;0;0;0;0;NA;NA;NA
NASTA_2023;6;0;0;0;0;0;0;NA;NA;NA
NASTA_2023;7;0;0;0;0;0;0;NA;NA;NA
NASTA_2023;8;0;0;0;0;0;0;NA;NA;NA
NASTA_2023;9;0;0;0;0;0;0;NA;NA;NA
PLLM_2023;1;0;0;0;0;0;0;NA;NA;NA
PLLM_2023;2;0;0;0;0;0;0;NA;NA;NA
PLLM_2023;3;0;0;0;0;0;0;NA;NA;NA
PLLM_2023;4;0;0;0;0;0;0;NA;NA;NA
PLLM_2023;5;0;0;0;0;0;0;NA;NA;NA
PLLM_2023;6;0;0;0;0;0;0;NA;NA;NA
PLLM_2023;7;0;0;0;0;0;0;NA;NA;NA
PLLM_2023;8;0;0;0;0;0;0;NA;NA;NA
PLLM_2023;9;0;0;0;0;0;0;NA;NA;NA
PLLM_2023;10;0;0;0;0;0;0;NA;NA;NA
PLLM_2023;11;0;0;0;0;0;0;NA;NA;NA
PLLM_2023;12;0;0;0;0;0;0;NA;NA;NA
PLLM_2023;13;0;0;0;0;0;0;NA;NA;NA
PLLM_2023;14;0;0;0;0;0;0;NA;NA;NA
PLLM_2023;15;0;0;0;0;0;0;NA;NA;NA
PLLM_2023;16;0;0;0;0;0;0;NA;NA;NA
PLLM_2023;17;0;0;0;0;0;0;NA;NA;NA
PLLM_2023;18;0;0;0;0;0;0;NA;NA;NA
BOURDEL_2023;1;1;0;0;0;0;0;NA;NA;NA
BOURDEL_2023;2;0;0;0;0;0;0;NA;NA;NA
BOURDEL_2023;3;0;0;0;0;0;0;NA;NA;NA
